bucket,file,kind,pair,matched
hardcase_test,super_yolo_f44800e091.jpg,near,test<->train,super_yolo_001e2cd2ad.jpg
hardcase_test,super_yolo_ff8556589d.jpg,near,test<->train,super_yolo_00853c353e.jpg
hardcase_test,super_yolo_c7afedef25.jpg,near,test<->train,super_yolo_00853c353e.jpg
hardcase_test,super_yolo_ea3998cd70.jpg,near,test<->train,super_yolo_00a83f48cd.jpg
hardcase_test,super_yolo_f1f73897be.jpg,near,test<->train,super_yolo_00a83f48cd.jpg
hardcase_test,taco_hardcase_bcad3d0832.jpg,near,test<->train,super_yolo_00ebda7525.jpg
hardcase_test,super_yolo_d06940fac3.jpg,near,test<->train,super_yolo_0225668c83.jpg
hardcase_test,taco_hardcase_1fd4a303ac.jpg,near,test<->train,super_yolo_025b3f9908.jpg
hardcase_test,super_yolo_1757edef87.jpg,near,test<->train,super_yolo_02e09d12f8.jpg
hardcase_test,taco_hardcase_3e620115db.jpg,near,test<->train,super_yolo_0409a3f2fc.jpg
hardcase_test,super_yolo_53092d988c.jpg,near,test<->train,super_yolo_040cad2ecf.jpg
hardcase_test,super_yolo_5c9c926ff7.jpg,near,test<->train,super_yolo_040cad2ecf.jpg
hardcase_test,taco_hardcase_906b40c23f.jpg,near,test<->train,super_yolo_043f589fc5.jpg
hardcase_test,super_yolo_2f3b3c95b4.jpg,near,test<->train,super_yolo_04d38e7650.jpg
hardcase_test,super_yolo_75a51f704e.jpg,near,test<->train,super_yolo_04d38e7650.jpg
hardcase_test,super_yolo_3af6101e85.jpg,near,test<->train,super_yolo_04d38e7650.jpg
hardcase_test,super_yolo_b15362c9f1.jpg,near,test<->train,super_yolo_04d38e7650.jpg
hardcase_test,taco_hardcase_84e2758c23.jpg,near,test<->train,super_yolo_05b7a8d075.jpg
hardcase_test,taco_hardcase_d22f81a6b5.jpg,near,test<->train,super_yolo_0679656f6b.jpg
hardcase_test,super_yolo_51d4bcebf0.jpg,near,test<->train,super_yolo_06841efa8d.jpg
hardcase_test,super_yolo_0f6f614a68.jpg,near,test<->train,super_yolo_06841efa8d.jpg
hardcase_test,taco_hardcase_2455b75c64.jpg,near,test<->train,super_yolo_07281f83be.jpg
hardcase_test,super_yolo_fffe231cea.jpg,near,test<->train,super_yolo_0764cad5e2.jpg
hardcase_test,super_yolo_fe63d8bb18.jpg,near,test<->train,super_yolo_0782dd09b3.jpg
hardcase_test,super_yolo_eb36c4ab89.jpg,near,test<->train,super_yolo_087be2aa3c.jpg
hardcase_test,taco_hardcase_251b8cfda2.jpg,near,test<->train,super_yolo_089dca3579.jpg
hardcase_test,taco_hardcase_911057461e.jpg,near,test<->train,super_yolo_08ea1c394b.jpg
hardcase_test,taco_hardcase_f9c2a32b6c.jpg,near,test<->train,super_yolo_0918497762.jpg
hardcase_test,taco_hardcase_9c6651bfab.jpg,near,test<->train,super_yolo_091f328612.jpg
hardcase_test,taco_hardcase_90a94e5f58.jpg,near,test<->train,super_yolo_0a928860a3.jpg
hardcase_test,super_yolo_32cd453e07.jpg,near,test<->train,super_yolo_0b63714aa5.jpg
hardcase_test,super_yolo_20f4eeddde.jpg,near,test<->train,super_yolo_0baf0c8fdb.jpg
hardcase_test,super_yolo_4f2bce7172.jpg,near,test<->train,super_yolo_0c5087fcc7.jpg
hardcase_test,super_yolo_4ec15b6ff3.jpg,near,test<->train,super_yolo_0dc8f77e3d.jpg
hardcase_test,super_yolo_1df62849f9.jpg,near,test<->train,super_yolo_0e07a14efa.jpg
hardcase_test,super_yolo_9153eb3b20.jpg,near,test<->train,super_yolo_0e07a14efa.jpg
hardcase_test,super_yolo_b71f068f80.jpg,near,test<->train,super_yolo_0e07a14efa.jpg
hardcase_test,super_yolo_85d5dd68f6.jpg,near,test<->train,super_yolo_0e19c72a4a.jpg
hardcase_test,taco_hardcase_906f9dc832.jpg,near,test<->train,super_yolo_0e4d6f5a10.jpg
hardcase_test,super_yolo_91a24b8a47.jpg,near,test<->train,super_yolo_0eefae6424.jpg
hardcase_test,super_yolo_7c29e1cf18.jpg,near,test<->train,super_yolo_0f015d7d87.jpg
hardcase_test,super_yolo_a735cc16fa.jpg,near,test<->train,super_yolo_0f96d38a8e.jpg
hardcase_test,super_yolo_70a39e989c.jpg,near,test<->train,super_yolo_1006215cff.jpg
hardcase_test,super_yolo_96ca565f40.jpg,near,test<->train,super_yolo_1006215cff.jpg
hardcase_test,super_yolo_d378ee659d.jpg,near,test<->train,super_yolo_13d4a3d314.jpg
hardcase_test,super_yolo_47e672c3e2.jpg,near,test<->train,super_yolo_14cf5ccd8f.jpg
hardcase_test,taco_hardcase_4777ed8e0a.jpg,near,test<->train,super_yolo_151a1ac238.jpg
hardcase_test,super_yolo_0d57de3102.jpg,near,test<->train,super_yolo_1549f517bd.jpg
hardcase_test,super_yolo_072f28b6aa.jpg,near,test<->train,super_yolo_1549f517bd.jpg
hardcase_test,taco_hardcase_765954f70f.jpg,near,test<->train,super_yolo_159ed8685f.jpg
